epoch,total_epochs,train_loss,val_loss,train_time_s,val_time_s,best_saved,best_val_loss,earlystop_counter,earlystop_patience,early_stop_triggered
1,40,0.179857,0.228779,68.1,13.7,1,0.2288,,,0
2,40,0.136078,0.19562,67.6,13.7,1,0.1956,,,0
3,40,0.12728,0.174063,67.4,13.9,1,0.1741,,,0
4,40,0.121499,0.165307,67.7,13.7,1,0.1653,,,0
5,40,0.120002,0.166079,67.7,13.8,0,,1,7,0
6,40,0.119524,0.180839,67.4,13.7,0,,2,7,0
7,40,0.118445,0.176144,67.2,13.7,0,,3,7,0
8,40,0.115148,0.149767,67.4,13.8,1,0.1498,,,0
9,40,0.11468,0.136656,67.1,13.7,1,0.1367,,,0
10,40,0.112933,0.142048,67.1,13.7,0,,1,7,0
11,40,0.112126,0.135627,67.3,13.6,1,0.1356,,,0
12,40,0.11102,0.13301,67.1,13.9,1,0.1330,,,0
13,40,0.111347,0.140552,67.1,13.8,0,,1,7,0
14,40,0.109293,0.128364,67.4,13.7,1,0.1284,,,0
15,40,0.108001,0.136798,67.2,13.8,0,,1,7,0
16,40,0.107406,0.127539,67.2,13.7,1,0.1275,,,0
17,40,0.109153,0.131879,67.4,13.8,0,,1,7,0
18,40,0.107731,0.12353,67.1,13.8,1,0.1235,,,0
19,40,0.107476,0.138931,67.2,13.7,0,,1,7,0
20,40,0.110153,0.137849,67.5,13.8,0,,2,7,0
21,40,0.107777,0.136117,67.2,13.7,0,,3,7,0
22,40,0.105519,0.126195,67.0,13.8,0,,4,7,0
23,40,0.10104,0.126779,67.1,13.7,0,,5,7,0
24,40,0.101223,0.120618,67.1,13.6,1,0.1206,,,0
25,40,0.100423,0.122844,67.0,13.8,0,,1,7,0
26,40,0.099795,0.119787,67.1,13.6,1,0.1198,,,0
27,40,0.099193,0.121091,67.4,13.8,0,,1,7,0
28,40,0.09868,0.122373,67.2,13.8,0,,2,7,0
29,40,0.098651,0.122929,67.2,13.7,0,,3,7,0
30,40,0.098361,0.121784,67.5,13.6,0,,4,7,0
31,40,0.096048,0.122818,67.2,13.7,0,,5,7,0
32,40,0.095473,0.120736,67.2,13.7,0,,6,7,0
33,40,0.094961,0.120951,67.5,13.6,0,,7,7,1
